Abbreviation,Structure,Mean Volume (Sedentary),Mean Volume (Voluntary),SD (Sedentary),SD (Voluntary),P-value,Effect Size,Lower Confidence Interval,Higher Confidence Interval
Ins_L,Insular Cortex (L),0.170962333333333,0.202168222222222,0.014650535496783,0.0117336264311995,9.88746838426202e-05,1.98480670795325,0.193256763878484,0.21107968056596
S2_L,Secondary Somatosensory Cortex (L),0.148035888888889,0.166860044444444,0.0068769478775915,0.0074743786037889,9.49611042949661e-05,1.96626995939467,0.161501640745194,0.172218448143695
A24b_L,Cingulate Cortex Area 24b (L),0.1863694,0.205909,0.0071135221971959,0.0062246187792908,0.0001213672640462,1.87405847756505,0.200236733518492,0.211581266481508
DLEnt_R,Dorsolateral Entorhinal Cortex (R),0.206145388888889,0.232647055555556,0.0185752410672409,0.0213811616099963,0.0145148724759389,1.86377476260081,0.22000810052263,0.245286010588481
PAG_L,Periaquaductal Grey (L),0.209231833333333,0.224391644444444,0.0089958269963077,0.0051435680383638,0.0001763836208075,1.84769200110454,0.219854120479007,0.228929168409882
A29c_R,Cingulate Cortex Area 29c (R),0.291013166666667,0.314345755555556,0.0095362344811775,0.013276665814702,0.0018746047432756,1.83878965724368,0.305656020683491,0.32303549042762
MGN_L,Medial Geniculate Nucleus (L),0.234750977777778,0.264793811111111,0.0181641711134019,0.0093839328271045,0.0005631708037139,1.74930994054323,0.254844329188267,0.274743293033955
A24bPrime_L,Cingulate Cortex Area 24b prime (L),0.186728366666667,0.207442088888889,0.0069551996457686,0.0114638600448807,0.0024461739517125,1.74913393123975,0.19950701593995,0.215377161837828
Vpal_L,Ventral Pallidum (L),0.241318255555556,0.289246133333333,0.0258293952849322,0.0221008237623623,0.0002505180600868,1.73931369753782,0.274470769285027,0.30402149738164
Ect_L,Ectorhinal Cortex (L),0.178218833333333,0.201478211111111,0.0127722228626226,0.0087086500478611,0.0003770831439474,1.73564378600226,0.194048466115378,0.208907956106845
DCl_R,Dorsal Claustrum (R),0.299112611111111,0.342247233333333,0.0262834077455932,0.0170433215090252,0.0012666893443549,1.69589159774488,0.326811824703943,0.357682641962724
VO_R,Ventral Orbital Cortex (R),0.223399333333333,0.242423522222222,0.0106454714207498,0.0070424273671756,0.0011098865600788,1.68973430346966,0.235704295364455,0.249142749079989
PRh_R,Perirhinal Cortex (R),0.2125704,0.236401944444444,0.0142552226024359,0.0173491375653165,0.0124692485044009,1.65259441050012,0.225276158537042,0.247527730351847
BLA_R,Basal Lateral Amygdala (R),0.2045886,0.228488988888889,0.0138818625446119,0.013197021068071,0.0032649075589471,1.63715804381903,0.219038327270748,0.23793965050703
VCl_L,Ventral Claustrum (L),0.362752422222222,0.411132933333333,0.0322212932949927,0.0220057900356361,0.0011383202541966,1.63543320718424,0.394002657551156,0.42826320911551
S1FL_L,Primary Somatosensory CortexForelimb Region (L),0.178419944444444,0.185568211111111,0.0072470862089723,0.0047464790256685,0.0276883680780048,1.6179911697565,0.1818064843607,0.189329937861522
Amy_L,Amygdala (L),0.209037311111111,0.230499388888889,0.0125609819256343,0.0095679751617628,0.0004875963870267,1.60784206666815,0.223484344383446,0.237514433394332
VCl_R,Ventral Claustrum (R),0.359886488888889,0.409749988888889,0.0305174668317361,0.0227156793860235,0.0007599627467487,1.60333351183104,0.392769327678851,0.426730650098927
LGN_L,Lateral Geniculate Nucleus (L),0.304348744444444,0.3248836,0.0131691871748137,0.0102791603446001,0.0014408720462818,1.594763510826,0.317439688600302,0.332327511399698
AuD_L,Secondary Auditory Cortex Dorsal Part (L),0.141230277777778,0.155913588888889,0.0080590050142337,0.0069002285897723,0.0048017645581799,1.55913233374737,0.14984433452154,0.161982843256238
A29c_L,Cingulate Cortex Area 29c (L),0.289111966666667,0.313958177777778,0.0101501260322225,0.0128478741239337,0.0012757795417172,1.55689812089038,0.305060801547381,0.322855554008174
Tg_R,Tegmental Nucleus (R),0.282389977777778,0.342887955555556,0.0356022080980161,0.022289100515617,0.0002794911724128,1.54791378444224,0.324061581454482,0.361714329656629
Pir_R,Piriform Cortex (R),0.242126844444444,0.257042644444444,0.0130719360824163,0.0068906262578431,0.0085169114208724,1.50997472339406,0.250425170988495,0.263660117900394
Fr3_L,Frontal Cortex Area 3 (L),0.129855755555556,0.146184455555556,0.0117331244648549,0.0046561187243537,0.0014424106114177,1.49035934150955,0.14026464205655,0.152104269054561
Au1_L,Primary Auditory Cortex (L),0.139064466666667,0.158495477777778,0.0097058120036398,0.0096624081317466,0.0028142290967038,1.48748402042983,0.150937495160888,0.166053460394668
VO_L,Ventral Orbital Cortex (L),0.214891533333333,0.233952755555556,0.0150875257986523,0.0126617801939647,0.0101272925607626,1.47748264246308,0.225301764730681,0.24260374638043
SPT_R,Septum (R),0.2610389,0.282252988888889,0.0197404866641504,0.0119794176624371,0.0113797069289169,1.47454417904216,0.27247260956296,0.292033368214818
mt_R,Mamillothalamic Tract (R),0.433723888888889,0.460915022222222,0.0230006319779177,0.0219775975320198,0.0244009011598523,1.47187863361591,0.446894450622408,0.474935593822036
PtPR_L,Parietal Cortex Posterior Area Rostral Part (L),0.09959855,0.11039565,0.0116889049743678,0.0072588689772408,0.0442198817753263,1.45902986233834,0.104232894758006,0.116558405241994
M1_R,Primary Motor Cortex (R),0.163139788888889,0.172156533333333,0.0094309439294861,0.0065464789326018,0.0470532587400546,1.41842272188211,0.166950152389876,0.177362914276791
TeA_R,Temporal Association Cortex (R),0.1412079,0.160126755555556,0.0070637712202831,0.0064674097046482,0.0007156150545368,1.41537240002318,0.153720446323972,0.16653306478714
V1M_L,Primary Visual Cortex Monocular Area (L),0.1402893,0.157199744444444,0.0078365493230439,0.0088360877822301,0.001008514238433,1.4069024989337,0.151282730805449,0.16311675808344
DLO_R,Dorsolateral Orbital Cortex (R),0.164050366666667,0.185349655555556,0.0110412688849606,0.0083392112959066,0.0001318090545301,1.36036115631651,0.179125122499745,0.191574188611366
Amy_R,Amygdala (R),0.207406377777778,0.221991,0.0146742597204917,0.0106651400976499,0.0378043662883505,1.34583468103546,0.213898708264403,0.230083291735597
PRh_L,Perirhinal Cortex (L),0.213294544444444,0.234306422222222,0.0164177587548599,0.0106310696378325,0.0166134284409655,1.32967087386777,0.22408839694604,0.244524447498404
DCl_L,Dorsal Claustrum (L),0.2995148,0.349907633333333,0.0346153378158801,0.0242734116786248,0.0017552140773315,1.32919766260292,0.331267715654165,0.368547551012502
BLA_L,Basal Lateral Amygdala (L),0.210083422222222,0.234549344444444,0.0162881301569408,0.0116157561136922,0.0024664855166246,1.32891540531898,0.225168509320478,0.243930179568411
FasMed_L,Fastigial Medial Nucleus of Cerebellum (L),0.340147977777778,0.357074222222222,0.0116043057420272,0.0075348171357667,0.0061149908795473,1.30819375486309,0.349871418630305,0.364277025814139
LDVL_L,Latero Dorsal Thalamic Nucleus Ventro Lateral (L),0.236946133333333,0.257753844444444,0.0222035023764833,0.0153250714843448,0.0308434463011448,1.30776801342897,0.246606353031557,0.268901335857332
Vpal_R,Ventral Pallidum (R),0.252116188888889,0.273737088888889,0.0243401263694051,0.0148213101859657,0.045383757244874,1.30189991781526,0.261336846247448,0.28613733153033
Ins_R,Insular Cortex (R),0.174686311111111,0.197810155555556,0.011218932397564,0.011451811578208,0.0008222062820268,1.30073152965645,0.189876494531558,0.205743816579553
Preopt_L,Preoptic Telencephalon (L),0.205519355555556,0.234430222222222,0.021260325948237,0.0137366575600451,0.0019685676766705,1.27185981370678,0.223607761406601,0.245252683037843
scp_L,Superior Cerebellar Peduncle (L),0.415913466666667,0.441987133333333,0.0146023456197112,0.0213435858949475,0.0184207444866165,1.25412668212947,0.429112512128504,0.454861754538163
V1M_R,Primary Visual Cortex Monocular Area (R),0.143286755555556,0.157622722222222,0.0066801267252409,0.0065586840785285,0.0010729827846216,1.2056514081739,0.152576109275549,0.162669335168896
A29b_L,Cingulate Cortex Area 29b (L),0.204108933333333,0.225122888888889,0.0121745716475981,0.011922741547086,0.0018565808360837,1.18713906073356,0.217304556113127,0.232941221664651
MGN_R,Medial Geniculate Nucleus (R),0.253076677777778,0.274905177777778,0.0210056336083786,0.0060667356063161,0.0057345491542184,1.11919314194616,0.265688723681586,0.284121631873969
AuV_L,Secondary Auditory Cortex Ventral Part (L),0.157648977777778,0.173943288888889,0.0124898785026895,0.0065727785209994,0.0066605347401097,1.05083494934857,0.16693592385803,0.180950653919748
Sub_PP_R,Subbrachial Nucleus and Peripeduncular Nucleus (R),0.264255477777778,0.295290311111111,0.0252021539834782,0.0171477077870808,0.0069606158862788,1.0501124978219,0.281870291677181,0.308710330545042
Hyp_L,Hypothalamus (L),0.191886322222222,0.207323822222222,0.0178599241550586,0.0102924687638314,0.0482262042277002,0.99791001676484,0.198368580806787,0.216279063637658
Ect_R,Ectorhinal Cortex (R),0.173413844444444,0.191374644444444,0.0142290354584483,0.0113693942191428,0.0384508533374146,0.996937832722889,0.181379091108166,0.201370197780723
SN_L,Substantia Nigra (L),0.338122533333333,0.3585313,0.0238465250272445,0.009471711365825,0.0378749146042199,0.951107732511468,0.347203742080014,0.369858857919986
S2_R,Secondary Somatosensory Cortex (R),0.147997322222222,0.159548011111111,0.00875832643942,0.0092333770784914,0.0424109159232908,0.934615269545159,0.153005429799482,0.166090592422741
V1_L,Primary Visual Cortex (L),0.0987643477777778,0.112599777777778,0.0111349383632991,0.0048387729820631,0.0033156691901861,0.89579272846446,0.107119528207857,0.118080027347699
PAG_R,Periaquaductal Grey (R),0.216179511111111,0.227244755555556,0.0125191044787002,0.0056768706789284,0.0346880615896856,0.85670252497337,0.22119684399609,0.233292667115021
